GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-lab,com.devops.jacoco_lab,App,7,0,0,0,3,0,2,0,2,0
jacoco-lab,com.devops.jacoco_lab,Calculator,0,11,0,0,0,3,0,3,0,3
